itemId,city,quality,sellOrderPrice,sellOrderPriceDate,buyOrderPrice,buyOrderPriceDate,primaryResource,primaryResourceAmount,secondaryResource,secondaryResourceAmount
T7_ARMOR_CLOTH_SET2@3,"Black Market",2,0,0001-01-01T00:00:00,313092,2022-10-18T00:55:00,cloth,16,,
T8_ARMOR_CLOTH_SET2,"Black Market",2,201999,2022-10-17T18:35:00,24088,2022-10-18T01:00:00,cloth,16,,
T8_ARMOR_CLOTH_SET2@1,"Black Market",2,0,0001-01-01T00:00:00,319113,2022-10-18T01:00:00,cloth,16,,
T8_ARMOR_CLOTH_SET2@2,"Black Market",2,903545,2022-10-17T18:40:00,216756,2022-10-18T06:55:00,cloth,16,,
T8_ARMOR_CLOTH_SET2@3,"Black Market",2,1569942,2022-10-17T18:35:00,722520,2022-10-18T06:55:00,cloth,16,,
T2_ARMOR_CLOTH_SET3,"Black Market",2,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,cloth,16,,
T3_ARMOR_CLOTH_SET3,"Black Market",2,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,cloth,16,,
T4_ARMOR_CLOTH_SET3,"Black Market",2,4633,2022-10-18T07:05:00,4324,2022-10-18T05:25:00,cloth,16,,
T4_ARMOR_CLOTH_SET3@1,"Black Market",2,4895,2022-10-18T07:45:00,4888,2022-10-18T01:00:00,cloth,16,,
T4_ARMOR_CLOTH_SET3@2,"Black Market",2,23628,2022-10-17T18:40:00,1506,2022-10-18T01:00:00,cloth,16,,
T4_ARMOR_CLOTH_SET3@3,"Black Market",2,104997,2022-10-17T18:40:00,49665,2022-10-18T01:00:00,cloth,16,,
T5_ARMOR_CLOTH_SET3,"Black Market",2,9268,2022-10-18T09:05:00,4888,2022-10-18T09:05:00,cloth,16,,
T5_ARMOR_CLOTH_SET3@1,"Black Market",2,15194,2022-10-18T07:45:00,12801,2022-10-18T07:45:00,cloth,16,,
T5_ARMOR_CLOTH_SET3@2,"Black Market",2,39341,2022-10-17T18:40:00,16555,2022-10-18T01:00:00,cloth,16,,
T5_ARMOR_CLOTH_SET3@3,"Black Market",2,0,0001-01-01T00:00:00,174638,2022-10-18T01:00:00,cloth,16,,
T6_ARMOR_CLOTH_SET3,"Black Market",2,27500,2022-10-18T07:10:00,16566,2022-10-18T07:10:00,cloth,16,,
T6_ARMOR_CLOTH_SET3@1,"Black Market",2,47874,2022-10-17T21:20:00,34615,2022-10-18T01:00:00,cloth,16,,
T6_ARMOR_CLOTH_SET3@2,"Black Market",2,0,0001-01-01T00:00:00,75275,2022-10-18T01:00:00,cloth,16,,
T6_ARMOR_CLOTH_SET3@3,"Black Market",2,458000,2022-10-17T18:50:00,337176,2022-10-18T01:00:00,cloth,16,,
T7_ARMOR_CLOTH_SET3,"Black Market",2,76995,2022-10-18T00:55:00,58695,2022-10-18T01:00:00,cloth,16,,
T7_ARMOR_CLOTH_SET3@1,"Black Market",2,171951,2022-10-17T17:40:00,165605,2022-10-18T01:05:00,cloth,16,,
T7_ARMOR_CLOTH_SET3@2,"Black Market",2,424000,2022-10-17T18:40:00,319113,2022-10-18T06:55:00,cloth,16,,
T7_ARMOR_CLOTH_SET3@3,"Black Market",2,955499,2022-10-17T18:40:00,397386,2022-10-18T00:50:00,cloth,16,,
T8_ARMOR_CLOTH_SET3,"Black Market",2,300000,2022-10-17T19:40:00,18066,2022-10-18T01:00:00,cloth,16,,
T8_ARMOR_CLOTH_SET3@1,"Black Market",2,0,0001-01-01T00:00:00,391365,2022-10-18T06:55:00,cloth,16,,
T8_ARMOR_CLOTH_SET3@2,"Black Market",2,990000,2022-10-17T18:40:00,313092,2022-10-18T06:55:00,cloth,16,,
T8_ARMOR_CLOTH_SET3@3,"Black Market",2,1498984,2022-10-17T18:40:00,1180116,2022-10-18T01:00:00,cloth,16,,
T2_SHOES_CLOTH_SET1,"Black Market",2,0,0001-01-01T00:00:00,72,2022-10-18T06:20:00,cloth,8,,
T3_SHOES_CLOTH_SET1,"Black Market",2,0,0001-01-01T00:00:00,94,2022-10-18T06:20:00,cloth,8,,
T4_SHOES_CLOTH_SET1,"Black Market",2,958,2022-10-18T06:55:00,470,2022-10-17T21:20:00,cloth,8,,
T4_SHOES_CLOTH_SET1@1,"Black Market",2,2985,2022-10-17T20:50:00,2068,2022-10-17T20:45:00,cloth,8,,
